metric,value
greedy_profit,288305.78
ilp_profit,288305.78
absolute_gap,0.0
percent_gap,0.0
greedy_runtime_seconds,1.67
ilp_runtime_seconds,12.3
budget_used,348547.88
budget_limit,350000
ilp_status,Optimal
notes,PuLP ILP solved
